artifact,clues
Odissi dance,The classical dance form of Odisha.
Applique Work or chandua,"A handicraft that originates from Pipli.
It uses cloth patches to make objects.
It also finds place in making Gods and Goddesses idols, decorating Shikaras, the rath in rath yatra."
Kauḍi kheḷa,"One of the games played between bride and groom after marriage
It uses 5 white stones made from corn shells."
Pala,"The traditional village theater tradition where stories are enacted along with singing and dancing.
Mostly associated with Mythological stories.
The State capital also has a festival dedicated to this festival."
Chenna Podo,"The most popular baked sweet whose origin was an accident.
The accident involved the main ingedient of this getting burnt in the stove."
Durga Puja,This festival is widely celebrated in Cuttack that resembles one in West Bengal.
Jhoti-Chita arts,"A form of art made on the floor with rice paste or pitha
Especially made for Mannosa."
Ganesh chaturthy,"A festival that celebrates God of Knowledge other than Saraswati
It is the first festival in Hindu calendar."
Sambalpuri Ikat,The most famous silk saree from the state
Rath Yatra,"The biggest festival of Odisha
This is related to God Jaggarnath"
Chaiti ghoda,A theater done primarily by fisherman
Tarakasi or silver filgiree,An art form that uses silver wires to make ornaments.
