artifact, clues
Ormanjhi,It is a famous picnic spot. It is on way to Hundru falls. Garga damn or Tenu ghat damn
Patratu,There is a very beautiful valley. The aerial view of the valley is quite scenic and there are watersports
Places,"Tenu ghat, patratu and netrahat can be confused. "
Rajrappa,It is temple for Kali maa where animals are scrificed
Kavar Yatra,"During saavan there is 4 day yatra. 
Every Monday is considered auspicious. 
The devotees wear orange bandhana around their head. They wear Rudraksha. 
They carry water in lota or Kamandal made of copper or Brass or in an earther pot called Kavaar."
Mahli paintining,Mahali tribe makes bamboo baskets
Sohrai,"It is also the harvest festival
They perform Chhau dance
People wear a mask and  perform drama showcasing ramayan, Mahabharata"
"Oraon ",It is also a tribe
Archery,Archery is a common sport
Pedukiya,"Made of sooji, sugar and mewa. It is fried and made on Diwali and Diwali"
,"The coal mines in Dhanbad generate a lot of employment by ISM, SIRI and actual mining. "
Chatt festival,Similar to Bihar
Litti chokha,a very common food where the filling is Sattu
Sattvan Puja,"Food is made of Sattu, even sweets. People wake up early, bathe and eat this prasad. 
Sattu is a very famous food.
 It is also done when babies complete 7 months of age."
"Singhbom district ",Famous for copper industry
Bhukara Steel plant,Once it was the largest steel plant of Asia. It is the oldest steel plant
,They haven't heard Bhojpuri. There is a gap between the interviewees and tribes so we haven't been able to capture
Handia,Rice beer
