artifact,clues
puran poli,"this is a sweet dish
This dish is usually made on festivals where you cannot make non-veg dishes"
kokam sharbat,"a drink usually had during ganesh chaturthi
this drink is quite popular in konkan region"
aam panna,"a cold drink made of mangoes
this is usually had during  summers and during ganesh chaturthi"
modak,a sweet dish made during ganesh chaturthi
pedhe,"it is a sweet dish quite popular in maharashtra
is also used as an offering at temples and during marathi festivals"
utna,"it is a powder that is applied on your skin before taking a bath during diwali
it is made of flowers and multani mitti"
gudi padwa,"this is also known as marathi new year
a metallic vessel attached to a scarf and hung outside the house during this festival
new things are usually bought during this festival"
makar sakranti,"during this festival kites are usually flown
during this day a sweet dish called tilgul and ladu are exchanged"
tambda rassa,"this dish is usually found in kolhapur
this dish is quite spicy"
bhaubeej,"this festival celebrates the bond between a brother and sister
gifts are usually exchanged during this day"
munj,"this ritual is usually performed on 12-13 year old boys
this ritual involves shaving of head
janeu is given to boys during this ceremony"
pohe,"this is a breakfast item
this is made of flattened rice"
gateway of india,"this monument is situated in mumbai
this was built by britshers
this is situated on the coast of mumbai"
barse,"this ritual is done post the birth of the baby
this is basically a naming ceremony for the baby"
dohale jevan,"this ritual involves a pregnant woman dressing up in green with a bow and arrow for a photo shoot

"
faral,"this dish is made exclusively during diwali
this dish is also shared with relatives and neighbors
this dish is mostly eaten in dinner during diwali"
varadi cuisine,"these type of cuisine is usually found in vidarbha region of maharashtra
this is a spicier take on marathi food cuisine"
diwali farad,"this is a collection of food items made in every household during diwali
this collection include items like chakali, kiranji, chivda, ladoo, anarse, kadboli"
