artifact,clues
tulsiPooja,"It is a hindu festival in the Kartika month.
It is held during Diwali time and involves a plant which is found in most older Hindu household.
"
kambala,"It is a cultural event held in the coastal regions of Karnataka.
The participants are primarily farmers and it involves domestic animals.
The event takes place in a muddy field.
People pray to the Lord Kadri Manjunath for a good harvest.
"
varmahalakshmi,"This is a festival that occurs during Shravan month.
It celebrate's Lord Vishnu's wife who is the goddess of wealth.
People pray for wellness and wealth.
Sometimes sarees and gold are parts of the offering.
"
ottuShavige,"This is a breakfast dish that made by boiling rice and making it into a paste.
It looks like long thin strands which is made by pressing it using a device.
It is usually had with chutney, pickles or sweetend coconut milk.
"
mysurupainting,"An brush and paint art form from one of the cities in Karnataka.
The city was quite famous in the olden days.
"
srirangapatna,"A city close to Mysore that is famous for the wars that Tipu Sulatan fought.
It has a lot of lakes and mueseums.
"
holige,"It is a sweetdish prepared in the shape of a chapati and is baked on a tawa.
It is stuffed with coconut, ground nut or moong dal.
It is usually prepared during major festivals like Dussera or Diwali but it is definitely prepared during Dussera.
Jaggery is the only form of sweetener used.
A similar dish is made in Maharshtra.
"
bullTemple,"A very famous temple in Southern Banglore, a locality also draws its name from this temple.
The temple reveres Shiva's mount Nandi.
It is famous for a 3-day festival that occurs when groundnuts are harvested.
The festival is famous among children because of the prasad - Puliyogare
"
ctr,"A very famous eatery in Banglore near Malleshwaram that is famous for Benne Masala Dosa.
Mostly famous for breakfast and closes down in the afternoon to open up again in the evening.
It is very crowded during 8:30-12:00 and people usually awaut in a queue outside to get the food there.
"
ravaidli,"It is a variant of a common breakfast item which is made of ground wheat and instead of rice and urad.
It not a breakfast item but rather a evening food.
It is a steamed food.
"
coconutBarfi,"It is a sweet made of coconut, milk and sugar.
It is native to Karnataka.
It is soft and flaky.
"
kashiYatra,"A journey taken by Hindus once when they are mature enough (going to study) and once when someone close to them has passed away.
This place is in Uttar Pradesh and has a lot of temples.
"
mtr,"It is brand of spices with shops all around India.
"
Tipu,"It is a place where a war hero who is from Srirangapatna has his house.
"
brahmopadesham,"It is a right of passage for boys in Hindu Brahmins.
It is conducted between the age of 8-16.
It signifies the boys entering the first of the four ashramas of Hindu life.
"
daliThoyi,"It is a curry made as a part of everyday food in Southern Karnataka or coastal karnataka, especially Karvar.
It is made using coconut oil, steamed toor lentils and uses a lot of hing.
"
mangloreBun,"It is a breakfast food in neighboring city to Banglore
"
raggiMudde,"A staple diet in most household in Karnataka.
It is had by older people and is very healthy made by finger millets.
"
chowchowbhath,"It is a steamed breakfast food item made of wheat and has two different food items served together one is sweet and one is spicy.
"
