States,Llama 2,Falcon,GPT-4,Palm 2
Andhra Pradesh,0.07692307692,0,0.3846153846,0.1538461538
Assam,0.07142857143,0.01785714286,0.08928571429,0.01785714286
Bihar,0.1666666667,0,0.3333333333,0.1666666667
Chhattisgarh,0,0,0,0
Delhi,0,0,0,0
Gujarat,0.03125,0,0.0625,0.125
Haryana,0.1176470588,0.0625,0,0
Jharkhand,0.3333333333,0,0.3333333333,0.07692307692
Karnataka,0.25,0,0.375,0.125
Kerala,0.3076923077,0.1538461538,0.6923076923,0.2307692308
Maharashtra,0.2222222222,0.05555555556,0.6111111111,0.4444444444
Odisha,0.09375,0,0.125,0.125
Punjab,0.12,0,0.48,0.28
Rajasthan,0.17,0.17,0.67,0.50
Tamil Nadu,0.1034482759,0,0.3448275862,0.1034482759
Telangana,0.1111111111,0,0.1111111111,0.07407407407
Uttar Pradesh,0.05882352941,0,0.3823529412,0.2058823529
West Bengal,0.05555555556,0,0.5555555556,0.1666666667
