Artifact,Clues
Hatha gondi,The ceremony done in wedding instead of the usual pheras
Mukut,The crowns worn by the bride and groom
Jatra,A theater art form used to recite Stories from varying topics
Khanjoni,A percussion instrument mostly used in Pala.
Ginna/Ginni,A brass metal item played in Pala
Rajjo,"It is a 2-3 days of festival to celebrate womanhood and primarily young girls are revered.
Swings are hung on the trees and is a sign of freedom.
Mostly the younger women take part in it."
Prathamashtmi,"The rite to pray for the well-being of the elder son of the family
A special dish is made of leaves of Turmeric plant."
Chada khai,The celebration done after one month of not consuming any non-vegetarian food
Boito Purnima,The festival to celebrate the day when traditionally people would set sail for commerce to places like Bali.
Savitri,A festival that is celebrated by the women for the long life of the husband.
Ekoisiya,"A festival celebrated at the age of 21 days for the newborn.
Usually a Satya Narayan Puja is done.
The name of the child is whispered to the child.
'Kheeri' is a sweet dish that is made."
Kanika,Sweet rice
Monda Pitha,Steamed dumplings  with sweet filling
Kakra,A swwet stuffed with coconut and dry fruits
Poda Pitha,A desset made during rajjo and Rath Yatra
Morujo,A rangoli made with different colors that are organically sourced 
Malo bhai,The group of people who are called at the death of a person to assist the family with the death rituals
Handiya,An alcoholic drink mostly in Mundas and Santhali community
