artifact,clues
Batukamma/Bathukamma,"It is a festival in which there is pot that is decorated with flowers and then immersed in water (river and pond). Songs related to Durga maa is a
The pot is considered to represent goddess gauri.
It is done during Navratri and holds a lot of importance for females.
Appaalu and Pulihora are some commonly cooked foods
They wear Pattu sarees (for married women) or langa voni (for unmarried young girls)
Put candle or camphor on top of the decorated structure. 
Turmeric called Gaurama and Kumkum are also put on that structure
"
Charminar,"Famous monument located in Hyderabad with four pillars.
It is a very common tourist place."
Kakatiya,"A kingdom that ruled Telangana.
A very famous university is named after this in the Warangal district.
They also bulit the 1000 pillar temple, Ramappa temple and Bhadrakali temple"
Hyderabadi Biryani,"A food item synonymous with Hyderabad
It is an emotion and not just a food
A standard Sunday lunch for many"
Peddamma gudi,A famous temple in Hyderabad and is commonly visited on Bonaalu festival 
Gadwal saree,It is a very famous handmade silk saree. The saree is famous for its foldability
Salarjung Mueseum,"A mueseum in Hyderabad.
Previously it was a private art collection"
durries from Warangal,"Cotton blankets made in Warangal.
Usually made of vegetable colors. "
Hussain Sagar,"A popular tourist lake in Hyderabad.
There is a Buddha statue at this lake
It is a popular touist spot where boating is common.
The are around the lake is a walking, running spot for the locals."
Golconda Fort,"A  famous fort in Hyderabad.
The famous Kohinoor was also stored in this fort during the times of Nizams
"
langa voni,A traditional dress usually worn by women before marriage.
Bonaalu/Bonalu,"A very famous festival in Hyderabad related to rice pots
On this festival people visit Peddama Gudi with rice pots"
