artifact,clues
Tirupati Kalyanam,The most auspicious puja in Tirupari temple
Putarekulu,An expensive sweet dish that has wafer-thin layers.
Bobbattu,"A easy fast to make sweet flatbread festival delicacy.
Common in Karnataka and Andhra.
Staple in Sankranti"
Ugadi pachadi,"A staple pickle like food in Ugadi.
It has 6 flavours."
Buttabomma,The dolls whose head moves while body is still.
Bomala koluvu,"In Sankranti, a step-wise arrangement of all toys that are then prayed to."
"Booralu, gaaralu and parvanam",The most common prasadam in most festivals
mavidikaya royallu,The raw mango and prawn curry
Tambulam,"Black channa, turmeric, paan all combined are referred to as this."
Avakaya Pickle,The spicy mango pickle
Varalakshmi vratham,"The fast done by females to Lakshmi to pray for long life of husband.
The goddess idol is made at home and black chenna is the prasadam"
Ulavacharu,The rasam made of horsegram
kodi pandalu,The cock fight which takes place on the third day of Sankranti
