artifact,clues
Tirupati Balaji temple,"The most famous Vishnu temple
this is the richest place of worship"
Rushi konda beach,"A tourist beach in Vishakhapatnam.
Navy air show takes place"
kakinada kaja,"A very popular sweet that is layers rolled and dipped in sugar.
The name of the dish has the name of the place in it."
Prakasam barrage,It is a bridge like structure located in Vijayawada near Kanaka Durga temple.
kalamkari paintings,"It is a textile block art print from Macchipatnam.
Floral, Gods, animals are common themes of these prints."
Brass idol of Nataraja in Tirupati,A brass idol situated in Tirupati temple
Kuchipudi,The classical dance form from Andhra
Ikat Puri weaving,It is a famous weave done on cotton that produces zig-zag patterns.
kondapalli toys,"The toy making art of Andhra Pradesh that uses soft wood.
These toys are famous as bobbleheads"
Kamal kadai embroidery,The embroidery done on traditional sarees to mostly create floral prints.
 Kolannalu or kolattam,"It is a dance form that makes use of sticks as props.
It is done for Krishnashtami"
Mangalagiri Handloom Sarees,A light weight good quality cotton saree 
chandragiri fort,A fort near Tirupati
Dharmavaram pattu,"The sarees with golden border which are worn only during marriages.
The saree has the name of the location where it is woven."
