artifact,clues
payasam,"this is a sweet dish
this dish is made using milk
this dish is quite similar to kheer"
pazham pou,"this dish is an evening snack
this is made out of banana
this dish is usually paired with tea"
puttu,"this dish is a variant of the rice cake
this is usually had during breakfast"
vellappam,"this is a type of bread usually had with veg stew
the batter for this bread is made of rice"
parotta,"this is similar to paratha in north india
this dish is made of refined flour or wheat flour
the bread usually has concentric circles "
kozhikode halwa,"this is a dessert
usually found at bakeries all around kozhikode
this dish comes in lot of colors such as orange, black "
malabar biryani,"this kind of biryani is abit like dum biryani
this dish has fried chicken pieces with rice"
Kannuvecha pathiri,"this dish is made of wheat and is quite similar to poori
this bread has a unique pattern wherein it is rolled in square shape. Two diagonals are imprinted on this square to create 4 triangles. When this bread is deep-fried, the pattern is visible"
kerala mundu,"this type of dhoti has chequered patterns
the way they are draped is also different
often off-white in color with golden borders"
chenda mellam,"a group of people performing a specific type of drum
this performance is usually done during special occasions, festivals or weddings"
vishu,"this is celebrated as the first day in the Malayalam calendar
women wear set saree and men wear kasavu mandu on this day
a puja is performed to krishna on this day"
mulla poovu,"this is a strand of jasmine flowers
this strand is worn by women on special occasions"
vishu kani,"this ritual involves laying down a path to the home temple the day before vishu
in the morning on the day of vishu, you are expected to see the face of krishna before anything else and you're expected to follow this path to the temple"
