guess1,guess2,ground_truth,clues
birsa munda national park,NA,birsa munda national park,"It is a National Park.
It is located in Ormanjhi
It is named after a famous freedom fighter.
It was a tribute to that freedom fighter
"
"the social artifact i am guessing is the ""rock garden"" located in ranchi, jharkhand.","my second and final guess is the ""hundru falls"" located in ranchi, jharkhand.",jonha falls,"Waterfall located in Ranchi district
It is surrounded by both forest and hills.
There is a Buddha temple there."
ranchi hill.,hazaribagh national park,hunduru falls,"Highest fall of Jharkhand.
It is a common weekend picnic and tourist spot."
dhol.,NA,dhol,"It is a musical intrument played with both hands.
It is integral to the tribal dance and hold importance for the tribes of Jharkhand
"
madhubani painting,handicrafts,tribal woodwork,"It is a artform done on wood by the Tribes of Jharkhand
It is at display in Bhukaro Zoo
They are usually sold at Melas like Saraswati Mela or Basant Mela"
ranchi,jamshedpur,netrahat,"It is a hill station for weekend picinic spot
It has pine trees and waterfalls. One of the waterfalls is very famous.
It is also known as ""Queen of Chotanagpur"""
the object in jharkhand is the jharkhand war memorial.,the object in jharkhand is the jawaharlal nehru museum of science and technology.,juliee park,"It is very famous park in Jameshdpur
It is a common toursit spot where many festivals and exhibitions are held.
Kite festival at Makar Sankranti takes place here"
baidyanath dham,kalesar,baba baidyanath temple,"It is a very famous Lord Shiva temple at Devgarh. 
It is  one of the twelve Jyotirlinga. 
The prasad is peda. 
People wear Orange clothes. 
It has a small cave. "
bandhavgarh national park,kaziranga national park,betla national park,"National Park and it is famous for elephant, tigers, bison, leopard. 
The first tiger census was held here.
 It is famous for Bengal Tiger conservation"
santhal painting,madhubani painting,paitkar paintings,"A famous painting from a parrticular community. 
These paintings are named after the community itself
These painitings depicts people and their lives.
They are mostly done on handmade paper and uses natural colours made from leaves and flowers"
parasnath hill,baidyanath dham,parasnath temple,"It is a very famous Jain temple on a hill near Ramgarh. 
It is a famous trek and a railway station is also named after this temple.
It hold importance for Jains"
madhubani painting,handloom fabric,kohvar & sohrai paintings,"Paintings done by the tribes in Jharkhand and depict animals and plants.
It depicts the harvesting festival of Jharkhand.
Kohvar depicts weddings and are done on walls."
toka.,tharu.,bows and arrows as weapons,"Famous weapons used in Santhal rebellion.
The tribes continue to use this weapon.
Cattle reares and owners continue to carry them"
coal,NA,coal,"Dhanbad has mines of this material.
It allowed Dhanbad to become an industrialized area."
chakli.,litti.,dhuska,"Food made from rice, channa dal.
It is a savory snack consumed as Street food"
"the object from jharkhand based on the given clues is the ""santhal pargana"".","my second and final guess is the ""tilaiya dam"".",rajmahal hills,"Famous hill range located in Santhal Pargana.
They are inhabitated by Santhals.
It is in the eastern side of Jharkhand.
There is a famous mosque built by Mir Qazim.
It  is house to Tilaiya dam on the Barakar River"
tamarind,mango,mango,"Leaves of this fruit is used in Satanarayan Puja which is a common puja in Jharkhand.
It is offered as a prasad in Teej"
santal.,munda,santhal,"It is one of the major tribes. 
A freedom revolution is also named after them
They speak Santhali
Siddhu and Kannu was from this tribe"
chakli.,litti.,pittha,"It is a steamed food which is sweet or savory.
It is shaped as a boat and is a evening snack.
It is made of wea or channa dal."
tata steel,tata nano,tata motors,A very famous automible company that established Jamshedpur.
steel plant,tata steel,iron industry,A very famous metal industry
