artifact,clues
daal baati,this dish is one of the most famous dish of rajasthan
gatte,"this dish is quite popular in rajasthan
this is made out of gram flour"
hawa mahal,"this monument is situated in jaipur
this monument has lot of windows"
ghoomar,this is the folk dance of rajasthan
laal maas,"this is a non-veg dish made with mutton
the dish has a bright red curry"
bhangarh,this place is known as a scary place
ghewar,this is a popular sweet dish in rajasthan
keoladeo national park,"this is a famous bird sanctuary in bharatpur
the name of this sanctuary is after a goddess"
maal puha,"this is a fried sweet dish
this dish is then dipped in a sugar syrup after frying
this dish is cooked during festivals"
lake pichola,"this is a famous lake in Udaipur
this lake is situated right outside the udaipur palace"
chittorgarh palace,"this is a popular fort of a rajasthani dynasty
this fort is one of the largest forts in India"
