artifact,clues
Ghewar,"A seasonal dessert that is usually available near to Raksha Bandhan.
It is more famous in Western Uttar Pradesh"
Jutti or Rajasthani Jutti,A traditional footwear that was borrowed from Rajasthan.
Pathani Kurta,"A traditional kurta that has a closed high neck and  less embroidery.
It is also something that grooms wear."
Heeralal Kulfi,The ice-cream and the brand that Tundla is famous for
Pehlwan Lassi,A lassi that Benaras is famous for
Malaiyyo,A famous dessert from Benaras which is available only in the morning.
Laung Latta,A dessert that has Khoa and is dipped in Sugar Syrup and has one piece of clove.
Litti Choka,"A very common dinner or travel food that people carry during travel. 
This is more famous in eastern Uttar Pradesh"
bhooja,"A mix with  different types of edible like roasted peanuts, different types of mistures, maze, etc."
Nagadava,Spicy food made of channa dal had with Litti Choka
Chatt Puja,"A very famous puja in Eastern Uttar Pradesh that happens after the 6th day of Diwali.
In this puja sun is worshipped.
Mothers fast for 24 hours starting in the evening.
In the evening water is offered to the Sun and in the morning milk is offered to the Sun"
sounp,"The receptacle  where fruits, saree etc are kept during Chatt Puja"
Katta,The name for local hand-made guns
Panja,"A weapon worn in hand used for gully fighting.
It has claws."
Benaras Kachori,The savory snack after which a complete market near Kashi Vishwanath is named in Benaras.
Benaras Tea,A hot drink which is famous across India but one of its kind is made in Benaras
Marble artwork,"A stone artwork or industry famous in Agra.
It is used to make home decorations and souvenir"
Leather work,"The industry which started in Hing Ki Mandi.
This material is used for making shoes, bags, belts etc."
Peda,A dessert that Agra is famous for
Glass industry,A industry that Ferozabad is famous for
Perfumes,The product that Kannauj is famous for.
Benaras Paan,"The most famous variety of a traditional mouth freshener.
In olden times people would make it at home. "
Kebabs,A famous meat-based street food from Lucknow
Tadi,A natural summer drink to help keep body cool.
Sattvan,"A day when different dishes of Sattu are made like Lapsi etc.
It is more popular in Eastern Uttar Pradesh."
Bhouri,Another name for Litti which draws its linguistic roots from Bhojpuri.
Rooh Afza,A drink made of red sugar syrup very common in summers and Ramzan.
Thandai,A drink consumed in Holi
Bhaang,An edible that is popularly  associated with Lord Shiv and is also mixed in Thandai sometimes.
Gamcha or Angocha,"A towel like garment carried around the neck, primarily  in the villages."
"Kanwad yatra or Kanwar Yatra ","A yatra done on foot during Saavan to Lord Shiva temples.
They carry holy water in pots to offer to Lord Shiva."
Teej,"A festival in eastern Uttar Pradesh where women fast for their husband's long life.
It happens near to Ganesh Chaturthi"
Jitiya or Jutiya,"A festival or puja in eastern Uttar Pradesh traditionally done by the mother for the son's long life.
Women wear a thread around their neck and the thread has oval shaped ornaments.
In Benaras the thread worn is usually black in color."
