artifact,clues
sakkarai,"this is a variant of pongal
this variant is sweet in taste"
ven pongal,"this is a variant of pongal that is salty in taste
this variant is made using ghee"
kozukottai,"this is a sweet dish
this dish is usually made during ganesh chaturthi
this dish is available in both sweet and salty taste
this dish is quite close to modak"
cheedai,"this dish is available as both sweet and salt
this dish is usually made during gokul ashtami
this dish is made using rice flour, jeera and ghee"
adhirasam,"this dish is similar to malpua
this dish is made as prasad during festivals"
jigarthanda,"this drink is quite popular in madurai
this drink is usually available during summers
this drink is made of condensed milk and almonds"
sundal,"this is a navratri special dish
this dish is made of dal, oil and mustard
this dish is usually given to guests who come to tamil families to see their golus"
payasam,"this dish Is made of milk, rice, vermicelli and jaggery
this dish is equivalent to kheer in north
this dish is almost always made on all the festivals"
murukku,"this is a popular snack in tamil nadu
this snack is made of rice and urad dal"
adai,"this dish is a variant of dosa
this dish is quite protein rich"
thokku,"this is a famous chutney in tamil families
this is mostly made of tomato"
puthandu,"this is the first day of the year on a tamil calendar
on this day, people usually have their meals on a banana leaf
on this day, people go to temple and wear new clothes"
bhogi,"this is the first day of pongal festival
on this day, people usually clean their house
on this dayy, people give off or burn old things"
pongal,"this is the second day of pongal
on this day, you actually prepare the food item pongal
on this day a tiny portion of food is kept aside after the lunch"
maattu pongal,"this is the third day of the pongal
the leftover food from the second day of the pongal is fed to cows at the temple"
kaanum pongal,"this is the fourth and the last day of pongal
during this day women pray to the sun god for  well-being of their  brothers"
avani avittam,"on this day, males from brahmin community usually change their poonal
this day usually falls either in august or in september"
Karadaiyan Nonbu,"during this day, women usually perform prayers to gowri for longevity and well-being of their husbands
on this day, women draw kolam in front of their houses"
